Binary Variable,Numeric Variable,Correlation,P-value
color_binary,num_critic_for_reviews,-0.02247318489198313,0.1164462520411514
color_binary,duration,0.05116164130985269,0.00034917046865280704
color_binary,director_facebook_likes,0.04218532801013881,0.003200444970253081
color_binary,actor_3_facebook_likes,-0.03162066437903541,0.027165076793479792
color_binary,actor_1_facebook_likes,-0.03694476029285474,0.009841916215084345
color_binary,gross,-0.04792634736072121,0.0008098655701298922
color_binary,num_voted_users,0.01778453959256172,0.21413260204533643
color_binary,cast_total_facebook_likes,-0.04390750001801745,0.0021531329534642206
color_binary,facenumber_in_poster,0.0009016550095668477,0.949784625827367
color_binary,num_user_for_reviews,0.04335756475557884,0.002447250875223585
color_binary,budget,-0.020065737002657624,0.16101746095396388
color_binary,title_year,-0.3084828009518354,4.194163368498617e-108
color_binary,actor_2_facebook_likes,-0.03306556569596669,0.020880529335021162
color_binary,imdb_score,0.14903344052999876,1.2125768226777091e-25
color_binary,aspect_ratio,-0.06934875165662253,1.237169546454826e-06
color_binary,movie_facebook_likes,-0.030407374449708348,0.03364234455563796
country_binary,num_critic_for_reviews,-0.044989386988823,0.0016669402777648912
country_binary,duration,0.049278513213697944,0.0005731498460194185
country_binary,director_facebook_likes,-0.08524117239491291,2.451812379772554e-09
country_binary,actor_3_facebook_likes,-0.09495719984216681,2.9825501050287795e-11
country_binary,actor_1_facebook_likes,-0.0867067350487784,1.298595856396231e-09
country_binary,gross,-0.17674166954581053,1.530094104384738e-35
country_binary,num_voted_users,-0.09249824037170293,9.510120714341791e-11
country_binary,cast_total_facebook_likes,-0.11425366041294518,1.1809567691074882e-15
country_binary,facenumber_in_poster,-0.040476462978700944,0.0046797603984409485
country_binary,num_user_for_reviews,-0.06893875394330781,1.4294780236826184e-06
country_binary,budget,0.03131587975168046,0.02868172300861085
country_binary,title_year,0.05389448758585872,0.00016517719480430856
country_binary,actor_2_facebook_likes,-0.09622382594871934,1.6223577017097016e-11
country_binary,imdb_score,0.10872740637772378,2.6005799856512326e-14
country_binary,aspect_ratio,0.04724278332795339,0.0009614358039756363
country_binary,movie_facebook_likes,-0.035903427431571704,0.012123506729552406
title_year_binary,num_critic_for_reviews,0.2901155833622264,2.7860827836397557e-95
title_year_binary,duration,-0.1335668986539117,7.17367757368022e-21
title_year_binary,director_facebook_likes,-0.07417773276168094,2.1235290843157658e-07
title_year_binary,actor_3_facebook_likes,0.06946419279820672,1.187677444505961e-06
title_year_binary,actor_1_facebook_likes,0.05611155468715804,8.771772177949621e-05
title_year_binary,gross,0.013934302127479821,0.3304011731383295
title_year_binary,num_voted_users,-0.00283809967253772,0.8428642977574757
title_year_binary,cast_total_facebook_likes,0.07174701585731831,5.228615716900794e-07
title_year_binary,facenumber_in_poster,0.05944929523619955,3.238864900090129e-05
title_year_binary,num_user_for_reviews,0.03395888096627809,0.017664094047728614
title_year_binary,budget,0.034959391312879555,0.014584745613593802
title_year_binary,title_year,0.7414338328896268,0.0
title_year_binary,actor_2_facebook_likes,0.06721142809888006,2.6043980609995677e-06
title_year_binary,imdb_score,-0.154497101272051,1.8616798776361316e-27
title_year_binary,aspect_ratio,0.11824131938078432,1.1536098941460603e-16
title_year_binary,movie_facebook_likes,0.15389487877719848,2.9725501367477243e-27
