	brand	km_driven	fuel	owner	selling_price
1	Maruti	145500	Diesel	First Owner	450000
2	Skoda	120000	Diesel	Second Owner	370000
3	Honda	140000	Petrol	Third Owner	158000
4	Hyundai	127000	Diesel	First Owner	225000
5	Maruti	120000	Petrol	First Owner	130000
6	Hyundai	45000	Petrol	First Owner	440000
7	Maruti	175000	LPG	First Owner	96000
8	Maruti	5000	Petrol	Second Owner	45000
9	Toyota	90000	Diesel	First Owner	350000
10	Ford	169000	Diesel	First Owner	200000
11	Renault	68000	Diesel	Second Owner	500000
12	Maruti	100000	Petrol	Second Owner	92000
13	Maruti	140000	Diesel	Second Owner	280000
14	Maruti	80000	Petrol	Second Owner	200000
15	Maruti	90000	Petrol	Second Owner	180000
16	Mahindra	40000	Petrol	First Owner	400000
17	Maruti	70000	Diesel	Second Owner	778000
18	Hyundai	53000	Diesel	Second Owner	500000
19	Maruti	80000	Petrol	Second Owner	150000
20	Hyundai	100000	Diesel	First Owner	680000
21	Mahindra	100000	Diesel	Second Owner	174000
22	Honda	50000	Diesel	First Owner	950000
23	Maruti	40000	Diesel	First Owner	525000
24	Maruti	72000	Diesel	First Owner	600000
25	Tata	35000	Petrol	First Owner	500000
26	Maruti	45000	Petrol	First Owner	575000
27	Maruti	28000	Petrol	First Owner	275000
28	Chevrolet	70000	Diesel	First Owner	300000
29	Maruti	120000	Petrol	First Owner	220000
30	Maruti	25000	Petrol	First Owner	254999
31	Maruti	70000	Diesel	First Owner	670000
32	Fiat	50000	Petrol	Second Owner	70000
33	Maruti	35000	Petrol	Second Owner	150000
34	Hyundai	2388	Petrol	First Owner	730000
35	Maruti	16200	Diesel	First Owner	650000
36	Maruti	10000	CNG	Second Owner	330000
37	Maruti	15000	Petrol	First Owner	366000
38	Hyundai	5000	Petrol	First Owner	1149000
39	Datsun	42000	Petrol	First Owner	150000
40	Tata	60000	Diesel	Second Owner	425000
41	Maruti	76000	Petrol	First Owner	150000
42	Jeep	5000	Petrol	First Owner	2100000
43	Honda	28900	Petrol	First Owner	925000
44	Honda	86300	Petrol	First Owner	425000
45	Maruti	23300	Petrol	First Owner	675000
46	Maruti	32600	Diesel	First Owner	819999
47	Maruti	10300	Petrol	First Owner	390000
48	Toyota	77000	Diesel	First Owner	1500000
49	Toyota	99000	Diesel	First Owner	700000
50	Mercedes-Benz	27800	Diesel	Second Owner	1450000
51	Honda	49800	Diesel	First Owner	425000
52	Mitsubishi	151000	Diesel	First Owner	1090000
53	Honda	54700	Diesel	First Owner	600000
54	Maruti	64000	Petrol	First Owner	850000
55	Honda	63000	Diesel	First Owner	525000
56	Toyota	127700	Diesel	Second Owner	1650000
57	Toyota	99000	Diesel	First Owner	950000
58	Audi	33900	Diesel	Second Owner	1750000
59	Toyota	25000	Petrol	First Owner	1590000
60	Audi	50000	Diesel	First Owner	1689999
61	Mercedes-Benz	59000	Diesel	First Owner	1425000
62	Tata	120000	Diesel	First Owner	265000
63	Hyundai	110000	Petrol	Third Owner	190000
64	Hyundai	60000	Diesel	First Owner	425000
65	Maruti	147000	Diesel	Second Owner	630000
66	Ford	25000	Petrol	Third Owner	600000
67	Maruti	30000	Petrol	First Owner	650000
68	Volkswagen	40000	Diesel	First Owner	540000
69	Honda	135000	Diesel	First Owner	630000
70	Maruti	30000	Petrol	First Owner	448000
71	Volkswagen	80000	Diesel	First Owner	500000
72	Maruti	70000	Diesel	First Owner	745000
73	Maruti	9850	Diesel	First Owner	1025000
74	Hyundai	60000	Petrol	Second Owner	235000
75	Maruti	70000	Diesel	First Owner	630000
76	Toyota	78000	Diesel	Second Owner	1700000
77	Maruti	120000	Diesel	Second Owner	450000
78	Maruti	120000	Petrol	Second Owner	450000
79	Tata	70000	Diesel	First Owner	50000
80	Volkswagen	170000	Diesel	First Owner	450000
81	Toyota	140000	Diesel	First Owner	1200000
82	Ford	90000	Diesel	First Owner	610000
83	BMW	30000	Petrol	Second Owner	2500000
84	Maruti	10000	Petrol	First Owner	484999
85	Datsun	49000	Petrol	First Owner	275000
86	Maruti	32000	Petrol	First Owner	315000
87	Maruti	38000	Petrol	First Owner	275000
88	Maruti	78000	Diesel	First Owner	475000
89	Hyundai	28000	Petrol	First Owner	290000
90	Maruti	32000	Petrol	First Owner	280000
91	Maruti	44000	LPG	First Owner	225000
92	Volkswagen	42000	Petrol	First Owner	455000
93	Hyundai	45000	Petrol	Second Owner	351000
94	Volkswagen	12000	Petrol	Second Owner	535000
95	Maruti	55500	Petrol	First Owner	175000
96	Hyundai	61500	Petrol	First Owner	525000
97	Maruti	150000	Diesel	First Owner	600000
98	Hyundai	72000	Petrol	First Owner	565000
99	Maruti	68000	Petrol	Third Owner	120000
100	Hyundai	110000	Diesel	First Owner	725000
101	Maruti	77000	Petrol	Second Owner	185000
102	Tata	100000	Diesel	Second Owner	200000
103	Maruti	10000	Petrol	First Owner	615000
104	Maruti	100000	Petrol	Third Owner	270000
105	Maruti	35000	Petrol	First Owner	610000
106	Mahindra	70000	Diesel	Second Owner	625000
107	Ford	5000	Petrol	Second Owner	400000
108	Hyundai	37800	Petrol	First Owner	866000
109	Volkswagen	114000	Petrol	First Owner	700000
110	Tata	48000	Petrol	First Owner	300000
111	Mahindra	32000	Diesel	First Owner	1700000
112	Tata	100000	Diesel	First Owner	375000
113	Hyundai	150000	Diesel	Second Owner	522000
114	Hyundai	69000	Diesel	First Owner	451999
115	Toyola	100000	Petrol	Second Owner	300000
116	Maruti	13000	Petrol	First Owner	475000
117	Maruti	60000	Diesel	First Owner	780000
118	Maruti	40000	Petrol	First Owner	595000
119	Maruti	35000	Petrol	First Owner	440000
120	Maruti	120000	Diesel	Second Owner	300000
121	Nissan	70000	Diesel	Third Owner	400000
122	Hyundai	50000	Diesel	First Owner	1140000
123	Ford	76139	Diesel	First Owner	850000
124	Maruti	175000	Diesel	Fourth & Above Owner	0
125	Renault	25000	Petrol	First Owner	350000
126	Maruti	40000	Petrol	Second Owner	360000
127	Maruti	65000	Petrol	Fourth & Above Owner	105000
128	Maruti	90000	Diesel	Second Owner	625000
129	Hyundai	80000	Petrol	Second Owner	135000
130	Maruti	110000	Diesel	Second Owner	700000
131	Honda	1303	Petrol	First Owner	690000
132	Audi	31800	Diesel	First Owner	3975000
133	Lexus	20000	Petrol	First Owner	5150000
134	Jaguar	45000	Diesel	First Owner	3200000
135	Jeep	17000	Petrol	First Owner	4100000
136	Land	21000	Diesel	First Owner	4500000
137	Mercedes-Benz	37000	Diesel	First Owner	6000000
138	BMW	29500	Diesel	First Owner	3790000
139	BMW	27000	Diesel	First Owner	2150000
140	BMW	7500	Diesel	First Owner	5800000
141	Skoda	50000	Petrol	First Owner	1864999
142	Mercedes-Benz	35000	Diesel	First Owner	2700000
143	MG	19000	Petrol	First Owner	1750000
144	Honda	41000	Petrol	First Owner	795000
145	Toyota	39000	Petrol	First Owner	625000
146	Volvo	22000	Diesel	First Owner	3400000
147	Audi	53000	Diesel	First Owner	2650000
148	Maruti	40000	Diesel	First Owner	535000
149	Mercedes-Benz	47000	Diesel	First Owner	5850000
150	BMW	72200	Petrol	Second Owner	975000
151	Hyundai	49900	Petrol	First Owner	805000
152	Jaguar	9000	Diesel	First Owner	2625000
153	Tata	11000	Petrol	First Owner	811000
154	Volkswagen	49000	Petrol	First Owner	375000
155	Hyundai	95000	Petrol	First Owner	550000
156	Skoda	11000	Petrol	First Owner	645000
157	Mercedes-Benz	18000	Petrol	First Owner	2550000
158	Maruti	46100	Petrol	First Owner	599000
159	Mercedes-Benz	16000	Petrol	First Owner	2700000
160	Honda	18000	Petrol	First Owner	875000
161	Toyota	9654	Petrol	First Owner	894999
162	Maruti	11000	Petrol	First Owner	175000
163	Maruti	24300	Petrol	First Owner	340000
164	Toyota	42163	Diesel	Second Owner	1525000
165	Tata	8000	Diesel	First Owner	1025000
166	BMW	30000	Diesel	First Owner	2150000
167	Toyota	41000	Petrol	First Owner	1900000
168	BMW	12000	Diesel	First Owner	2900000
169	Toyota	71000	Petrol	First Owner	450000
170	Maruti	20000	Petrol	First Owner	850000
171	Volvo	30000	Petrol	First Owner	10000000
172	Volkswagen	100000	Diesel	Second Owner	300000
173	Ford	9500	Petrol	First Owner	575000
174	Ford	120000	Diesel	First Owner	160000
175	Maruti	36600	Petrol	First Owner	515000
176	Maruti	50000	Petrol	Second Owner	390000
177	Hyundai	14000	Petrol	Second Owner	550000
178	Maruti	40000	Petrol	Second Owner	40000
179	Maruti	120000	Diesel	First Owner	220000
180	Hyundai	70000	Petrol	First Owner	425000
181	Volkswagen	13000	Petrol	First Owner	480000
182	Hyundai	60000	Petrol	Second Owner	400000
183	Maruti	35000	Petrol	First Owner	487000
184	Hyundai	44000	Petrol	Second Owner	386000
185	Honda	120000	Petrol	Second Owner	100000
186	Toyota	60000	Diesel	First Owner	300000
187	Daewoo	60000	Petrol	First Owner	100000
188	Toyota	30000	Diesel	Second Owner	1750000
189	Mahindra	15000	Petrol	Second Owner	450000
190	Tata	90000	Diesel	First Owner	490000
191	Honda	47000	Petrol	Second Owner	345000
192	Maruti	90000	Petrol	First Owner	85000
193	Maruti	120600	Petrol	Second Owner	215000
194	Hyundai	100000	Petrol	Third Owner	320000
195	Maruti	60000	Petrol	Second Owner	459999
196	Hyundai	86000	Petrol	First Owner	65000
197	Hyundai	5000	Petrol	First Owner	720000
198	Maruti	37000	Diesel	First Owner	800000
199		14000	Petrol	First Owner	520000
200	Maruti	70000	Diesel	First Owner	580000
201	Toyota	120000	Diesel	First Owner	235000
202	Honda	50000	Petrol	First Owner	600000
203	Honda	60000	Petrol	Second Owner	290000
204	Maruti	50000	CNG	First Owner	360000
205	Maruti	50000	Petrol	First Owner	550000
206	Hyundai	70000	Petrol	First Owner	375000
207	Maruti	90000	Petrol	Second Owner	40000
208	Maruti	35000	Petrol	First Owner	420000
209	Maruti	20000	Petrol	First Owner	550000
210	Maruti	20000	Petrol	First Owner	270000
211	Maruti	7800	Petrol	First Owner	700000
212	Maruti	20000	Petrol	First Owner	500000
213	Tata	15000	Diesel	First Owner	1250000
214	Hyundai	31377	Petrol	Second Owner	320000
215	Maruti	50000	Diesel	First Owner	700000
216	Maruti	60000	Petrol	First Owner	290000
217	Toyota	100000	Petrol	First Owner	550000
218	Honda	60000	Petrol	First Owner	265000
219	Maruti	5000	Petrol	First Owner	830000
220	Tata	60000	Diesel	First Owner	800000
221	Maruti	25000	Petrol	Second Owner	160000
222	Renault	30000	Petrol	First Owner	335000
223	Datsun	80000	Petrol	Second Owner	329000
224	Maruti	75000	Diesel	First Owner	775000
225	Hyundai	32000	Petrol	First Owner	524000
226	Maruti	40000	Petrol	First Owner	245000
227	Hyundai	93000	Petrol	Second Owner	275000
228	Tata	60000	Petrol	First Owner	520000
229	Maruti	120000	Petrol	Second Owner	130000
230	Nissan	37000	Petrol	First Owner	550000
231	Ford	15000	Petrol	First Owner	910000
