Product/Color,Product type,Red,Orange,Lemon,Yellow (light),Yellow (dark),Gold,Blue (dark),Blue (sky),Blue (light),Blue (navy),Green (dark),Green (light),Green (lime),Beige ,White,Grey (light),Grey (dark),Brown (light),Brown (dark),Pink (barbie),Pink (light),Pink (dark),Black,Purple (light),Purple (normal),Purple (dark),Petroleum,Maroon,Ugly Color
D4x2,Standard bricks,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
D4x2F,Standard bricks,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
D2x2,Standard bricks,1,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,
L6x2,Standard bricks,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
L4x2,Standard bricks,,,,,1,,1,,,,1,,1,,1,,,,1,,,,,,1,,,,
L4x2F,Standard bricks,,,,,,,1,,,,,,,,1,1,,,,,,,1,,,,,,
L3x2,Standard bricks,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
L2x2,Standard bricks,,,,1,,,,1,,,1,,,,,1,,,,,,,,,,,,1,
L2x2F,Standard bricks,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
L2x1,Standard bricks,1,,1,5,,,1,,2,,,,,3,2,,,5,1,,,,,,,,1,,1
L2x1F,Standard bricks,2,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,1,
L4x1,Standard bricks,,,,,,,1,,,,,,1,1,,,,,,1,,,,1,,,,,
L4x1F,Standard bricks,,,,,,,,,,,,,,,1,,,1,,,,,,,,,1,,
L4x1S,Special bricks,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
L2x1S,Special bricks,,1,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,
L1x1S,Special bricks,1,1,,,,,,,,,1,,,1,,,,,,,2,,1,,,,,,
L2x1TS,Special bricks,1,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,
L2x2DS,Special bricks,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,,
L2x1DS,Special bricks,,1,,,,,1,,,,,,1,,,,1,,,,,,,,,,,,
L2x2R,Special bricks,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
L2x2RF,Special bricks,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,
TW,Special Tools,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,
TNL,Special Tools,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
TNS,Special Tools,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Sword,Special Tools,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,
